player_id,player_name,player_display_name,position,position_group,team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,return_yards_placeholder,key
00-0027973,A.Dalton,Andy Dalton,QB,QB,CAR,2023,5,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,1.0,0,0.0,0.0,1.0,0.37754697,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,A.Dalton|CAR|QB|5
00-0028002,R.Cobb,Randall Cobb,WR,WR,NYJ,2023,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,10.0,0.0,0.0,-3.9241312,0,0.0,0.055555556,0.13333334,0.17666666,0.0,0,R.Cobb|NYJ|WR|1
00-0028002,R.Cobb,Randall Cobb,WR,WR,NYJ,2023,2,REG,DAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,15.0,0.0,0.0,-1.5230663,0,0.0,0.04,0.056603774,0.099622644,0.0,0,R.Cobb|NYJ|WR|2
00-0028002,R.Cobb,Randall Cobb,WR,WR,NYJ,2023,3,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,12.0,0,0.0,0.0,6.0,10.0,1.0,0.44182244,0,2.0,0.071428575,0.0375,0.13339286,0.0,0,R.Cobb|NYJ|WR|3
00-0028002,R.Cobb,Randall Cobb,WR,WR,NYJ,2023,4,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,8.0,0,0.0,0.0,24.0,1.0,1.0,-1.6300821,0,0.33333334,0.102564104,0.082474224,0.21157812,0.0,0,R.Cobb|NYJ|WR|4
00-0028002,R.Cobb,Randall Cobb,WR,WR,NYJ,2023,5,REG,DEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,7.0,0.0,0.0,-0.65322554,0,0.0,0.03846154,0.038674034,0.08476413,0.0,0,R.Cobb|NYJ|WR|5
00-0028002,R.Cobb,Randall Cobb,WR,WR,NYJ,2023,6,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,3,0.0,0,0.0,0.0,22.0,0.0,0.0,-1.4353702,1,0.0,0.09090909,0.08494209,0.1958231,0.0,0,R.Cobb|NYJ|WR|6
00-0028118,T.Taylor,Tyrod Taylor,QB,QB,NYG,2023,1,REG,DAL,2,2,6.0,0,0.0,0.0,-0.0,0,0,-10.0,16.0,0.0,-0.5446569,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,T.Taylor|NYG|QB|1
00-0028118,T.Taylor,Tyrod Taylor,QB,QB,NYG,2023,3,REG,SF,0,1,0.0,0,0.0,0.0,-0.0,0,0,11.0,0.0,0.0,-0.651543,0,0.0,,1,2.0,0,0.0,0.0,0.0,-0.18906277,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,T.Taylor|NYG|QB|3
00-0028118,T.Taylor,Tyrod Taylor,QB,QB,NYG,2023,5,REG,MIA,9,12,86.0,0,0.0,1.0,3.0,0,0,74.0,39.0,4.0,2.440994,0,1.1621622,0.20915861,3,14.0,0,0.0,0.0,1.0,0.5676173,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,T.Taylor|NYG|QB|5
00-0028118,T.Taylor,Tyrod Taylor,QB,QB,NYG,2023,6,REG,BUF,24,36,200.0,0,0.0,3.0,15.0,1,0,250.0,72.0,11.0,-2.130479,0,0.8,0.0959952,5,24.0,0,0.0,0.0,1.0,-0.27673262,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,T.Taylor|NYG|QB|6
00-0029263,R.Wilson,Russell Wilson,QB,QB,DEN,2023,1,REG,LV,27,34,177.0,2,0.0,2.0,11.0,0,0,137.0,78.0,11.0,2.3555384,0,1.2919708,0.20051344,1,1.0,0,0.0,0.0,0.0,-0.6033214,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Wilson|DEN|QB|1
