player_name,team,position_group,week,opponent_team,pre_bonus_fan_pts,total_yard_bonus_fan_pts,play_bonus_fan_pts,total_fan_pts,key
A.Thielen,CAR,WR,3,SEA,20.5,5,0.0,25.5,A.Thielen|CAR|WR|3
A.Thielen,CAR,WR,4,MIN,8.200000000000001,0,0.0,8.200000000000001,A.Thielen|CAR|WR|4
A.Thielen,CAR,WR,5,DET,16.700000000000003,5,0.0,21.700000000000003,A.Thielen|CAR|WR|5
A.Thielen,CAR,WR,6,MIA,17.5,5,0.0,22.5,A.Thielen|CAR|WR|6
Z.Ertz,ARI,TE,1,WAS,2.1,0,0.0,2.1,Z.Ertz|ARI|TE|1
Z.Ertz,ARI,TE,2,NYG,5.6000000000000005,0,0.0,5.6000000000000005,Z.Ertz|ARI|TE|2
Z.Ertz,ARI,TE,3,DAL,0.6000000000000001,0,0.0,0.6000000000000001,Z.Ertz|ARI|TE|3
Z.Ertz,ARI,TE,4,SF,5.300000000000001,0,0.0,5.300000000000001,Z.Ertz|ARI|TE|4
Z.Ertz,ARI,TE,5,CIN,7.0,0,0.0,7.0,Z.Ertz|ARI|TE|5
Z.Ertz,ARI,TE,6,LA,2.2,0,0.0,2.2,Z.Ertz|ARI|TE|6
M.Goodwin,CLE,WR,1,CIN,0.0,0,0.0,0.0,M.Goodwin|CLE|WR|1
M.Goodwin,CLE,WR,2,PIT,0.0,0,0.0,0.0,M.Goodwin|CLE|WR|2
M.Goodwin,CLE,WR,3,TEN,0.1,0,0.0,0.1,M.Goodwin|CLE|WR|3
M.Goodwin,CLE,WR,4,BAL,0.0,0,0.0,0.0,M.Goodwin|CLE|WR|4
M.Goodwin,CLE,WR,6,SF,2.4,0,0.0,2.4,M.Goodwin|CLE|WR|6
K.Allen,LAC,WR,1,MIA,8.200000000000001,0,0.0,8.200000000000001,K.Allen|LAC|WR|1
K.Allen,LAC,WR,2,TEN,23.1,5,2.0,30.1,K.Allen|LAC|WR|2
K.Allen,LAC,WR,3,MIN,29.95,22,4.0,55.95,K.Allen|LAC|WR|3
K.Allen,LAC,WR,4,LV,9.2,0,0.0,9.2,K.Allen|LAC|WR|4
K.Allen,LAC,WR,6,DAL,14.5,0,0.0,14.5,K.Allen|LAC|WR|6
R.Woods,HOU,WR,1,BAL,5.7,0,0.0,5.7,R.Woods|HOU|WR|1
R.Woods,HOU,WR,2,IND,7.4,0,0.0,7.4,R.Woods|HOU|WR|2
R.Woods,HOU,WR,3,JAX,3.4000000000000004,0,0.0,3.4000000000000004,R.Woods|HOU|WR|3
R.Woods,HOU,WR,4,PIT,2.6,0,0.0,2.6,R.Woods|HOU|WR|4
R.Woods,HOU,WR,5,ATL,3.0,0,0.0,3.0,R.Woods|HOU|WR|5
R.Woods,HOU,WR,6,NO,6.6,0,0.0,6.6,R.Woods|HOU|WR|6
T.Kelce,KC,TE,2,JAX,8.6,0,0.0,8.6,T.Kelce|KC|TE|2
T.Kelce,KC,TE,3,CHI,12.9,0,0.0,12.9,T.Kelce|KC|TE|3
T.Kelce,KC,TE,4,NYJ,6.0,0,0.0,6.0,T.Kelce|KC|TE|4
T.Kelce,KC,TE,5,MIN,12.7,0,0.0,12.7,T.Kelce|KC|TE|5
T.Kelce,KC,TE,6,DEN,12.4,5,2.0,19.4,T.Kelce|KC|TE|6
L.Murray,BUF,RB,1,NYJ,1.7000000000000002,0,0.0,1.7000000000000002,L.Murray|BUF|RB|1
L.Murray,BUF,RB,2,LV,9.1,0,0.0,9.1,L.Murray|BUF|RB|2
L.Murray,BUF,RB,3,WAS,8.1,0,0.0,8.1,L.Murray|BUF|RB|3
L.Murray,BUF,RB,4,MIA,5.6000000000000005,0,0.0,5.6000000000000005,L.Murray|BUF|RB|4
L.Murray,BUF,RB,5,JAX,0.7000000000000001,0,0.0,0.7000000000000001,L.Murray|BUF|RB|5
L.Murray,BUF,RB,6,NYG,4.5,0,0.0,4.5,L.Murray|BUF|RB|6
D.Hopkins,TEN,WR,1,NO,6.5,0,0.0,6.5,D.Hopkins|TEN|WR|1
D.Hopkins,TEN,WR,2,LAC,4.0,0,0.0,4.0,D.Hopkins|TEN|WR|2
D.Hopkins,TEN,WR,3,CLE,4.800000000000001,0,0.0,4.800000000000001,D.Hopkins|TEN|WR|3
D.Hopkins,TEN,WR,4,CIN,6.300000000000001,0,0.0,6.300000000000001,D.Hopkins|TEN|WR|4
D.Hopkins,TEN,WR,5,IND,14.0,5,0.0,19.0,D.Hopkins|TEN|WR|5
D.Hopkins,TEN,WR,6,BAL,2.0,0,0.0,2.0,D.Hopkins|TEN|WR|6
G.Smith,SEA,QB,1,LA,12.200000000000001,0,0.0,12.200000000000001,G.Smith|SEA|QB|1
G.Smith,SEA,QB,2,DET,30.400000000000002,5,0.0,35.400000000000006,G.Smith|SEA|QB|2
G.Smith,SEA,QB,3,CAR,20.400000000000002,0,0.0,20.400000000000002,G.Smith|SEA|QB|3
G.Smith,SEA,QB,4,NYG,11.3,0,0.0,11.3,G.Smith|SEA|QB|4
G.Smith,SEA,QB,6,CIN,14.150000000000002,5,0.0,19.150000000000002,G.Smith|SEA|QB|6
C.Patterson,ATL,RB,5,HOU,0.7000000000000001,0,0.0,0.7000000000000001,C.Patterson|ATL|RB|5
C.Patterson,ATL,RB,6,WAS,0.6000000000000001,0,0.0,0.6000000000000001,C.Patterson|ATL|RB|6
W.Snead,SF,WR,4,ARI,0.9,0,0.0,0.9,W.Snead|SF|WR|4
D.Williams,ARI,RB,6,LA,4.4,0,0.0,4.4,D.Williams|ARI|RB|6
K.Smith,ATL,RB,5,HOU,2.8000000000000003,0,0.0,2.8000000000000003,K.Smith|ATL|RB|5
O.Beckham,BAL,WR,1,HOU,3.7,0,0.0,3.7,O.Beckham|BAL|WR|1
O.Beckham,BAL,WR,2,CIN,2.9000000000000004,0,0.0,2.9000000000000004,O.Beckham|BAL|WR|2
O.Beckham,BAL,WR,5,PIT,1.3,0,0.0,1.3,O.Beckham|BAL|WR|5
O.Beckham,BAL,WR,6,TEN,3.4000000000000004,0,0.0,3.4000000000000004,O.Beckham|BAL|WR|6
B.Cooks,DAL,WR,1,NYG,2.2,0,0.0,2.2,B.Cooks|DAL|WR|1
B.Cooks,DAL,WR,3,ARI,1.7000000000000002,0,0.0,1.7000000000000002,B.Cooks|DAL|WR|3
B.Cooks,DAL,WR,4,NE,2.7,0,0.0,2.7,B.Cooks|DAL|WR|4
B.Cooks,DAL,WR,5,SF,1.3000000000000003,0,0.0,1.3000000000000003,B.Cooks|DAL|WR|5
B.Cooks,DAL,WR,6,LAC,11.0,0,0.0,11.0,B.Cooks|DAL|WR|6
T.Bridgewater,DET,QB,5,CAR,-0.2,0,0.0,-0.2,T.Bridgewater|DET|QB|5
L.Thomas,WAS,TE,1,ARI,4.3,0,0.0,4.3,L.Thomas|WAS|TE|1
L.Thomas,WAS,TE,2,DEN,8.2,0,0.0,8.2,L.Thomas|WAS|TE|2
L.Thomas,WAS,TE,4,PHI,4.300000000000001,0,0.0,4.300000000000001,L.Thomas|WAS|TE|4
L.Thomas,WAS,TE,5,CHI,11.7,0,0.0,11.7,L.Thomas|WAS|TE|5
L.Thomas,WAS,TE,6,ATL,0.2,0,0.0,0.2,L.Thomas|WAS|TE|6
D.Carr,NO,QB,1,TEN,19.65,5,4.0,28.65,D.Carr|NO|QB|1
D.Carr,NO,QB,2,CAR,9.0,0,4.0,13.0,D.Carr|NO|QB|2
D.Carr,NO,QB,3,GB,11.15,0,0.0,11.15,D.Carr|NO|QB|3
D.Carr,NO,QB,4,TB,4.45,0,0.0,4.45,D.Carr|NO|QB|4
D.Carr,NO,QB,5,NE,21.549999999999997,0,0.0,21.549999999999997,D.Carr|NO|QB|5
D.Carr,NO,QB,6,HOU,21.85,5,2.0,28.85,D.Carr|NO|QB|6
J.Garoppolo,LV,QB,1,DEN,21.1,0,0.0,21.1,J.Garoppolo|LV|QB|1
J.Garoppolo,LV,QB,2,BUF,11.35,0,0.0,11.35,J.Garoppolo|LV|QB|2
J.Garoppolo,LV,QB,3,PIT,24.9,5,0.0,29.9,J.Garoppolo|LV|QB|3
J.Garoppolo,LV,QB,5,GB,14.799999999999999,0,0.0,14.799999999999999,J.Garoppolo|LV|QB|5
J.Garoppolo,LV,QB,6,NE,12.5,0,0.0,12.5,J.Garoppolo|LV|QB|6
J.McKinnon,KC,RB,1,DET,1.0,0,0.0,1.0,J.McKinnon|KC|RB|1
J.McKinnon,KC,RB,2,JAX,2.2,0,0.0,2.2,J.McKinnon|KC|RB|2
J.McKinnon,KC,RB,3,CHI,14.8,0,0.0,14.8,J.McKinnon|KC|RB|3
J.McKinnon,KC,RB,4,NYJ,0.7000000000000001,0,0.0,0.7000000000000001,J.McKinnon|KC|RB|4
J.McKinnon,KC,RB,5,MIN,2.5,0,0.0,2.5,J.McKinnon|KC|RB|5
J.McKinnon,KC,RB,6,DEN,2.0,0,0.0,2.0,J.McKinnon|KC|RB|6
D.Adams,LV,WR,1,DEN,6.6000000000000005,0,0.0,6.6000000000000005,D.Adams|LV|WR|1
D.Adams,LV,WR,2,BUF,14.4,0,0.0,14.4,D.Adams|LV|WR|2
D.Adams,LV,WR,3,PIT,29.2,12,0.0,41.2,D.Adams|LV|WR|3
D.Adams,LV,WR,4,LAC,7.5,0,0.0,7.5,D.Adams|LV|WR|4
D.Adams,LV,WR,5,GB,4.5,0,0.0,4.5,D.Adams|LV|WR|5
D.Adams,LV,WR,6,NE,2.9000000000000004,0,0.0,2.9000000000000004,D.Adams|LV|WR|6
M.Evans,TB,WR,1,MIN,12.600000000000001,0,0.0,12.600000000000001,M.Evans|TB|WR|1
M.Evans,TB,WR,2,CHI,23.1,12,2.0,37.1,M.Evans|TB|WR|2
M.Evans,TB,WR,3,PHI,12.0,0,0.0,12.0,M.Evans|TB|WR|3
M.Evans,TB,WR,4,NO,4.0,0,0.0,4.0,M.Evans|TB|WR|4
M.Evans,TB,WR,6,DET,4.9,0,0.0,4.9,M.Evans|TB|WR|6
A.Robinson,PIT,WR,1,SF,6.4,0,0.0,6.4,A.Robinson|PIT|WR|1
A.Robinson,PIT,WR,2,CLE,1.2000000000000002,0,0.0,1.2000000000000002,A.Robinson|PIT|WR|2
A.Robinson,PIT,WR,3,LV,2.4000000000000004,0,0.0,2.4000000000000004,A.Robinson|PIT|WR|3
A.Robinson,PIT,WR,4,HOU,0.8,0,0.0,0.8,A.Robinson|PIT|WR|4
A.Robinson,PIT,WR,5,BAL,2.9000000000000004,0,0.0,2.9000000000000004,A.Robinson|PIT|WR|5
C.Manhertz,DEN,TE,3,MIA,0.0,0,0.0,0.0,C.Manhertz|DEN|TE|3
C.Manhertz,DEN,TE,4,CHI,1.0,0,0.0,1.0,C.Manhertz|DEN|TE|4
C.Manhertz,DEN,TE,6,KC,0.0,0,0.0,0.0,C.Manhertz|DEN|TE|6
J.Winston,NO,QB,3,GB,5.050000000000001,0,0.0,5.050000000000001,J.Winston|NO|QB|3
J.Winston,NO,QB,4,TB,-2.0,0,0.0,-2.0,J.Winston|NO|QB|4
J.Winston,NO,QB,5,NE,-0.4,0,0.0,-0.4,J.Winston|NO|QB|5
A.Cooper,CLE,WR,1,CIN,3.7,0,0.0,3.7,A.Cooper|CLE|WR|1
A.Cooper,CLE,WR,2,PIT,9.0,0,0.0,9.0,A.Cooper|CLE|WR|2
A.Cooper,CLE,WR,3,TEN,17.6,5,4.0,26.6,A.Cooper|CLE|WR|3
A.Cooper,CLE,WR,4,BAL,1.6,0,0.0,1.6,A.Cooper|CLE|WR|4
A.Cooper,CLE,WR,6,SF,10.8,5,2.0,17.8,A.Cooper|CLE|WR|6
D.Parker,NE,WR,2,MIA,5.7,0,0.0,5.7,D.Parker|NE|WR|2
D.Parker,NE,WR,3,NYJ,1.9000000000000001,0,0.0,1.9000000000000001,D.Parker|NE|WR|3
D.Parker,NE,WR,4,DAL,3.3000000000000003,0,0.0,3.3000000000000003,D.Parker|NE|WR|4
D.Parker,NE,WR,5,NO,2.0,0,0.0,2.0,D.Parker|NE|WR|5
D.Parker,NE,WR,6,LV,0.7000000000000001,0,0.0,0.7000000000000001,D.Parker|NE|WR|6
N.Agholor,BAL,WR,2,CIN,12.3,0,0.0,12.3,N.Agholor|BAL|WR|2
N.Agholor,BAL,WR,3,IND,3.9000000000000004,0,0.0,3.9000000000000004,N.Agholor|BAL|WR|3
N.Agholor,BAL,WR,4,CLE,0.4,0,0.0,0.4,N.Agholor|BAL|WR|4
N.Agholor,BAL,WR,5,PIT,6.4,0,0.0,6.4,N.Agholor|BAL|WR|5
N.Agholor,BAL,WR,6,TEN,4.0,0,0.0,4.0,N.Agholor|BAL|WR|6
M.Pruitt,ATL,TE,3,DET,1.0,0,0.0,1.0,M.Pruitt|ATL|TE|3
